Wall time,Step,Value
1767289392.9127598,1200,106.0
1767289434.4348598,2400,45.0
1767289489.0079603,3600,33.0
1767289529.2128997,4800,32.0
1767289569.354181,6000,31.0
1767289610.2798338,7200,31.0
1767289658.155168,8400,30.0
1767289723.6042588,9600,28.0
1767289766.8244085,10800,28.0
1767289827.9621499,12000,26.0
1767289878.2594085,13200,26.0
1767289939.8682554,14400,25.0
1767290008.9190977,15600,24.0
1767290074.393447,16800,24.0
1767290140.0008943,18000,23.0
1767290206.880209,19200,23.0
1767290272.5500941,20400,22.0
1767290332.1107514,21600,22.0
1767290390.682733,22800,22.0
1767290459.853771,24000,22.0
1767290528.2854922,25200,21.0
1767290595.8260038,26400,21.0
1767290691.8641028,27600,21.0
1767290761.956082,28800,20.0
1767290804.1156874,30000,21.0
1767290842.0335524,31200,21.0
1767290892.8059103,32400,21.0
1767290948.5790384,33600,21.0
1767291032.372126,34800,21.0
1767291111.7375014,36000,20.0
1767291150.228666,37200,21.0
1767291189.2686887,38400,21.0
1767291231.1049342,39600,21.0
1767291283.3397627,40800,21.0
1767291335.210472,42000,21.0
1767291389.7191954,43200,21.0
1767291433.9454386,44400,21.0
1767291486.309923,45600,21.0
1767291538.5250983,46800,21.0
1767291586.718237,48000,21.0
1767291637.4452388,49200,21.0
1767291692.3805852,50400,21.0
1767291737.000613,51600,21.0
1767291787.0497165,52800,21.0
1767291837.7230043,54000,21.0
1767291890.3592253,55200,22.0
1767291972.4144535,56400,21.0
1767292061.8328447,57600,21.0
1767292153.3532503,58800,21.0
1767292232.8198104,60000,21.0
1767292308.2788732,61200,20.0
1767292423.95581,62400,20.0
1767292519.3363984,63600,20.0
1767292638.1194847,64800,19.0
1767292756.96069,66000,19.0
1767292894.5126402,67200,19.0
1767292977.6048064,68400,19.0
1767293049.9787729,69600,18.0
1767293134.4428172,70800,18.0
1767293208.714931,72000,18.0
1767293275.8755639,73200,18.0
1767293314.217212,74400,18.0
1767293347.4458086,75600,19.0
1767293386.698701,76800,19.0
1767293425.8780086,78000,19.0
1767293475.7227085,79200,19.0
1767293520.4895828,80400,19.0
1767293569.3968923,81600,19.0
1767293615.39264,82800,19.0
1767293657.7993355,84000,19.0
1767293694.814137,85200,19.0
1767293728.6490142,86400,19.0
1767293763.1875792,87600,19.0
1767293795.2252452,88800,20.0
1767293832.059029,90000,20.0
1767293871.0712283,91200,20.0
1767293908.8949184,92400,20.0
1767293941.9896338,93600,20.0
1767293974.0429192,94800,20.0
1767294013.0590615,96000,20.0
1767294049.8376439,97200,20.0
1767294088.5507462,98400,20.0
1767294130.101419,99600,20.0
